Date,SessionId,Hops,Duration,Cost,Status,Input
"August 29, 2024 9:31 AM",ATUid_2ff328a6c4df483ca09354ef36a8a2ad,3,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:31 AM",ATUid_0e1ac8d1f024f12527e981d98df81693,5,38s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_2dd742d0d00263ae4a767cc15a5b3587,5,32s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_e62286fc8b227f7fc23c73a007b9c8fc,13,39s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_61d09d66aed0f872d0c52a8b04865b0f,1,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:31 AM",ATUid_18ea3f402e47ec8ed8961a5de2f1ed00,5,51s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_63eb24f3ea99d28db77c56a236d09385,5,20s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_a0853ba78aa0191c6ec2afd38163bc5e,5,51s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_db743276c92e2c66f694c6bdef6782fd,5,1s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_6ffd3be2f7d8c40560e89fa1a6dffd0a,1,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:31 AM",ATUid_1116d138a06ed1022fe64971966bcf74,3,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:31 AM",ATUid_e4da3e102ba4fb85cbcbd8a15c3058e8,2,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:31 AM",ATUid_d714a6a29fd2da3c77eda3b6d4ae911b,5,51s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_0118d4f8d15879c4547a66cdb81f9986,5,53s,KES 1.2500,Success,N/A
"August 29, 2024 9:31 AM",ATUid_af7c02f1286077125f67e222416c765d,5,38s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_1fbe226d5bfbbab9c578c83de177df19,5,43s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_25905524ca9d287b19fb025c22c911fd,5,33s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_f3477b7c08b2c920cbb988737e8edc33,5,6s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_61152020a03906069bebf74a89600fb5,5,10s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_a70bb2c4245b6b85bfc82b209ab99f6e,5,18s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_6ed8c8407d5ddab5c21a04cf3ad3d83d,3,10s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_587a75069466098be35ad7cc67a4d65d,2,4s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_14d9a8ab9c82e2c13950abce2913e3be,3,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_30d3849ceae2c47271d9077dcb9c3af9,5,8s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_c912881654acf07a45b9d7f0fbb66c00,3,17s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_fca4f9de92f87e88ea3f9c5362c9089d,3,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_ef65cafd0f0fe5ddfe76a8a415e0fab0,5,33s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_5d4eb2deeae2568467c126817a1fe0e7,5,28s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_46686095b6c807e1b612dcfc7cde3514,5,25s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_c25f28e11362c564740495e0a6582088,7,61s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_b7fb38b3fccd678c806b9b28c113e172,5,41s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_ce038daa8e931c07bde7f009ff4cbf5a,5,19s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_35e81318e3760d2363d352a2d0d7f1c9,5,48s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_31ad729775904460b15ae73a9e202739,5,27s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_b2f692b735eb7e165a5fe5c2d8ed02bb,5,22s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_37e90081c41d854dd86cb6a4b9f9f0dc,5,45s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_d21cf9d3028d2aba68e72e9a7ec0bf20,5,1s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_6220f7fc89c0dd939da302d6a8a83b99,5,9s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_b379c9a4946222331293c0348d5a501f,2,8s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_bbd9495fbe0ba346725b1237ad5e5f52,5,44s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_f3dac312f81e8cf85f6ba817dd20b886,2,21s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_5c89b3e656790013bfb8ff2c9f8f3b3f,5,61s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_41a5d0a3e247fa11d7fa8a17624eed7d,5,1s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_fa55fbbfc35a42a1dfdd4bf8c783d4f6,5,8s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_836797e79fa2d449ac8920fa1c88a32c,5,23s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_4b6266c1bf807b36892a8405a0f15336,2,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_e78f77092be083a30c6cbf263dfe8215,5,36s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_908c330be0b3dbbd28e8e236d1ea3c8f,5,9s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_0f7b07f81aa02cd6aadd8db575e3eb27,3,32s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_4cbec1a678d01f17d374ac35011422ce,5,26s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_97eb323825219d409e92856a044fb740,3,1s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_b19970f0bd261125620a31c01c593de2,5,40s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_606ed46abb24545d352475f24ee7cae5,5,6s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_47e1a444824c0a0a94df92bcc46a0c91,5,32s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_4bd46b25ed7db8f9541578aeeb721968,5,63s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_95bae719570fb77b269c38acb0638a05,2,7s,KES 1.2500,Success,N/A
"August 29, 2024 9:30 AM",ATUid_6c6456c4295136d85b87c8076931d919,3,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:30 AM",ATUid_196874134bb9d68338c613bb90c067a4,5,28s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_dd43fe5d5a5603d71515e488f3377b68,5,22s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_a0060717827b17127a6e08c4927575d4,3,15s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_154d9303f3b3416942746ca19a11f833,5,5s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_d13fa22c070abe89d45a03b94c9a82d7,3,1s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_cfa8196af69529f7177242f14ba619c9,5,25s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_2cf03bb56e5a37a4dc60cfa5e263c7e9,3,25s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_e0a842698d88a135051ca6d0bb36e0a0,2,8s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_42468fae38f873985b79114908a92df8,5,18s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_7278d5d391a72446daeaa9f4cffdb6a5,5,25s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_73ba4bed358229c5adb7855583fbb3fb,5,17s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_782103aa5b4095bae965643420f9f32c,5,15s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_75c9ea3cabc2717398f614d530b21e4b,4,31s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_0333b5ff5deb70adec0345cd60aba571,5,15s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_ca4677a8d98deecb5ffd966dacca1416,5,32s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_1231f990ad84aa8a53157e333763952f,3,19s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_3a7b52a02c8e6aabbb3461b3394704cc,3,21s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_94669cb5fa70423bf76b8ea467301edb,5,25s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_883c14ca806fcaf9226e52d5b758fadf,5,23s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_64a046d5e269d985515c89643a163021,4,14s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_6e12584156ba8d22ac94c97ba8e1c8db,5,19s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_4ad06e03641730620115653dfdcca1b3,3,13s,KES 1.2500,Incomplete,N/A
"August 29, 2024 9:29 AM",ATUid_287d4c31920e9d9c54a45312fc4a007d,5,27s,KES 1.2500,Success,N/A
"August 29, 2024 9:29 AM",ATUid_be77f3cbcd0d2977bc1343e76490f3e3,5,6s,KES 1.2500,Success,N/A
